               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13065,            0.026328,            0.044198,                   0,                   0,                   0,                   0,             0.12294,            0.025803,            0.043732,              0.0901,              0.0011,              0.0011
                   1,              0.1292,            0.024168,             0.04343,          7.5758e-05,            0.073529,          4.9047e-05,          8.2923e-06,             0.12149,            0.024907,             0.04353,            0.079295,           0.0022954,           0.0022954
                   2,             0.12783,            0.022687,            0.042901,          7.5758e-05,            0.073529,          4.9819e-05,          7.4929e-06,             0.12028,            0.024223,            0.043314,            0.068486,           0.0034861,           0.0034861
                   3,             0.12574,            0.021896,            0.042452,          4.5455e-05,            0.044118,          2.7031e-05,          3.5083e-06,             0.11935,            0.023649,            0.043122,            0.057672,           0.0046721,           0.0046721
                   4,             0.12531,            0.021031,            0.041832,          3.0303e-05,            0.029412,           1.697e-05,           1.697e-06,             0.11859,            0.023246,            0.042918,            0.046853,           0.0058533,           0.0058533
                   5,             0.12449,            0.019431,            0.041121,                   0,                   0,                   0,                   0,             0.11786,            0.022849,            0.042649,             0.03603,           0.0070297,           0.0070297
                   6,             0.12469,            0.020078,            0.040487,                   0,                   0,                   0,                   0,             0.11721,            0.022445,            0.042322,            0.025201,           0.0082014,           0.0082014
                   7,             0.12326,            0.020578,            0.040268,                   0,                   0,                   0,                   0,             0.11672,             0.02207,            0.041925,            0.014368,           0.0093683,           0.0093683
                   8,             0.12401,            0.019604,            0.039392,                   0,                   0,                   0,                   0,             0.11654,            0.021604,            0.041904,           0.0098416,           0.0098416,           0.0098416
                   9,             0.12299,            0.019578,            0.038944,                   0,                   0,                   0,                   0,              0.1177,            0.020522,             0.04266,           0.0098416,           0.0098416,           0.0098416
                  10,             0.12344,            0.019348,            0.038358,                   0,                   0,                   0,                   0,             0.11901,            0.019093,            0.044202,           0.0098218,           0.0098218,           0.0098218
                  11,             0.12189,            0.018064,            0.037418,                   0,                   0,                   0,                   0,             0.11959,            0.018126,            0.044391,            0.009802,            0.009802,            0.009802
                  12,             0.12232,            0.017227,            0.036634,          0.00010012,           0.0069444,          5.2687e-05,          2.6344e-05,             0.12329,              0.0166,            0.045515,           0.0097822,           0.0097822,           0.0097822
                  13,             0.12071,            0.018713,            0.037128,          0.00011436,           0.0069444,          6.0136e-05,          2.4054e-05,             0.12661,            0.015038,            0.047285,           0.0097624,           0.0097624,           0.0097624
                  14,             0.12194,            0.017205,            0.035785,                   0,                   0,                   0,                   0,             0.12061,            0.017215,            0.046381,           0.0097426,           0.0097426,           0.0097426
                  15,             0.12094,            0.017736,            0.035892,                   0,                   0,                   0,                   0,             0.11764,             0.01852,            0.048199,           0.0097228,           0.0097228,           0.0097228
                  16,             0.12004,            0.018527,            0.034576,                   0,                   0,                   0,                   0,             0.11769,             0.01874,            0.049634,            0.009703,            0.009703,            0.009703
                  17,             0.12014,            0.017505,            0.034038,          7.5347e-05,           0.0069444,          4.0436e-05,          8.0871e-06,             0.11589,            0.019139,            0.048413,           0.0096832,           0.0096832,           0.0096832
                  18,             0.11833,            0.017583,            0.033888,          0.00011879,            0.036356,          6.5182e-05,          2.5702e-05,             0.11245,             0.01997,            0.046211,           0.0096634,           0.0096634,           0.0096634
                  19,             0.11721,            0.017422,            0.033884,          0.00012014,            0.028595,          6.5605e-05,          1.8207e-05,             0.11318,            0.019629,            0.044814,           0.0096436,           0.0096436,           0.0096436
                  20,             0.11565,            0.019048,            0.032434,                   0,                   0,                   0,                   0,             0.11586,            0.018049,            0.046228,           0.0096238,           0.0096238,           0.0096238
                  21,             0.11339,            0.019361,            0.032726,          5.7202e-05,            0.029412,          3.2031e-05,          3.2031e-06,             0.11823,            0.016931,            0.044943,            0.009604,            0.009604,            0.009604
                  22,             0.11354,             0.02003,            0.032244,          0.00076003,             0.16462,          0.00057234,          0.00012751,             0.10831,            0.020167,            0.042463,           0.0095842,           0.0095842,           0.0095842
                  23,             0.10992,            0.019707,            0.030959,          0.00081246,             0.17933,          0.00064172,          0.00015935,             0.10758,            0.020153,            0.042776,           0.0095644,           0.0095644,           0.0095644
                  24,             0.10813,            0.021103,            0.032583,          8.1422e-05,             0.02165,          4.3343e-05,          4.3343e-06,             0.12109,            0.016456,            0.047845,           0.0095446,           0.0095446,           0.0095446
                  25,             0.10917,            0.020229,            0.031054,          0.00025602,            0.058824,           0.0001584,          5.4146e-05,             0.12255,            0.015993,            0.046607,           0.0095248,           0.0095248,           0.0095248
                  26,             0.10413,            0.020892,            0.030301,          5.7287e-05,            0.029412,           3.855e-05,          1.5441e-05,             0.11108,            0.022172,            0.039937,            0.009505,            0.009505,            0.009505
                  27,             0.10403,            0.021195,            0.030393,          0.00012373,            0.058824,          8.0335e-05,          2.9786e-05,             0.11243,            0.022445,            0.040904,           0.0094852,           0.0094852,           0.0094852
                  28,             0.10405,            0.021875,             0.02977,           0.0002107,             0.10989,          0.00016451,          3.5438e-05,              0.1066,            0.022407,            0.040328,           0.0094654,           0.0094654,           0.0094654
                  29,                 0.1,            0.020612,            0.028491,          0.00064601,             0.23203,          0.00060762,          0.00012834,             0.10572,            0.022385,            0.038689,           0.0094456,           0.0094456,           0.0094456
                  30,            0.099372,            0.020419,            0.028794,             0.75512,            0.048611,           0.0040548,           0.0011759,             0.10359,            0.022054,            0.034335,           0.0094258,           0.0094258,           0.0094258
                  31,             0.10211,            0.020665,            0.029487,             0.78674,            0.083333,            0.057489,            0.014341,            0.093378,            0.021474,            0.031321,            0.009406,            0.009406,            0.009406
                  32,            0.095108,            0.022466,            0.029428,             0.76181,            0.055556,            0.011069,           0.0031271,            0.095241,            0.021783,            0.031259,           0.0093862,           0.0093862,           0.0093862
                  33,            0.098567,            0.021461,            0.026117,             0.75251,            0.027778,           0.0029815,          0.00070975,             0.10728,             0.02629,            0.048557,           0.0093664,           0.0093664,           0.0093664
                  34,            0.093359,            0.020202,            0.026281,             0.50305,            0.069444,           0.0053278,            0.001261,            0.099548,            0.024649,            0.030932,           0.0093466,           0.0093466,           0.0093466
                  35,            0.090877,             0.02379,              0.0268,             0.77859,            0.080734,            0.027829,           0.0077603,            0.092815,            0.023443,            0.030102,           0.0093268,           0.0093268,           0.0093268
                  36,            0.090021,            0.020754,            0.026239,          0.00043549,            0.087418,          0.00038037,          0.00013854,             0.12195,            0.018062,            0.048484,            0.009307,            0.009307,            0.009307
                  37,            0.090286,            0.021208,            0.023494,             0.82372,             0.10417,            0.079065,            0.018899,            0.089253,            0.022104,            0.027127,           0.0092872,           0.0092872,           0.0092872
                  38,            0.088669,            0.021173,            0.023978,             0.84814,            0.080837,            0.078702,            0.022419,            0.089502,            0.021843,            0.029083,           0.0092674,           0.0092674,           0.0092674
                  39,            0.088259,            0.020606,            0.024543,             0.54109,            0.083333,            0.035697,           0.0087963,            0.090161,            0.023701,            0.033533,           0.0092476,           0.0092476,           0.0092476
                  40,            0.088873,            0.019921,            0.025131,             0.80713,             0.11316,            0.088561,            0.034166,            0.091162,            0.027021,            0.027623,           0.0092278,           0.0092278,           0.0092278
                  41,            0.086757,             0.01867,            0.024008,             0.54347,            0.073529,            0.027152,           0.0052662,             0.11153,            0.017344,            0.034607,            0.009208,            0.009208,            0.009208
                  42,            0.084989,            0.019984,            0.022365,             0.12251,             0.18995,             0.15645,            0.044039,            0.086137,            0.022096,            0.029654,           0.0091882,           0.0091882,           0.0091882
                  43,            0.086707,            0.019666,            0.023514,             0.31556,             0.11356,            0.048152,            0.010376,            0.095502,             0.01935,            0.029985,           0.0091684,           0.0091684,           0.0091684
