               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13122,            0.025977,            0.044084,                   0,                   0,                   0,                   0,              0.1232,            0.026081,             0.04375,            0.070882,           0.0032353,           0.0032353
                   1,             0.12824,            0.024575,            0.043532,                   0,                   0,                   0,                   0,             0.12211,             0.02565,            0.043576,            0.040861,            0.006547,            0.006547
                   2,               0.128,            0.023386,            0.043364,          6.8842e-05,            0.058824,          4.6229e-05,          5.5558e-06,              0.1213,            0.025483,            0.043416,            0.010817,           0.0098366,           0.0098366
                   3,              0.1279,            0.021872,            0.042721,          0.00014544,             0.02165,          7.6469e-05,          2.1376e-05,             0.14027,            0.017826,            0.063272,            0.009901,            0.009901,            0.009901
                   4,             0.12774,            0.022574,            0.042358,                   0,                   0,                   0,                   0,             0.16482,            0.010666,              0.1731,            0.009901,            0.009901,            0.009901
                   5,             0.12742,            0.022465,            0.042148,                   0,                   0,                   0,                   0,             0.15973,           0.0082402,             0.14866,            0.009868,            0.009868,            0.009868
                   6,             0.12639,            0.021953,            0.041852,                   0,                   0,                   0,                   0,             0.15403,            0.007695,            0.071565,            0.009835,            0.009835,            0.009835
                   7,              0.1257,             0.02049,            0.040679,                   0,                   0,                   0,                   0,             0.15351,           0.0066283,            0.072104,            0.009802,            0.009802,            0.009802
                   8,             0.12384,            0.020205,            0.040227,                   0,                   0,                   0,                   0,             0.14959,           0.0076828,            0.056658,            0.009769,            0.009769,            0.009769
                   9,             0.12472,            0.018929,            0.039611,                   0,                   0,                   0,                   0,             0.14906,           0.0079798,            0.056813,            0.009736,            0.009736,            0.009736
                  10,             0.12295,            0.019776,            0.039199,          0.00033625,            0.027778,          0.00032892,          6.0052e-05,             0.14001,            0.010836,            0.048654,            0.009703,            0.009703,            0.009703
                  11,             0.12227,            0.020003,              0.0382,           3.594e-05,            0.014706,          2.0782e-05,          2.0782e-06,             0.12054,            0.017288,            0.041019,             0.00967,             0.00967,             0.00967
                  12,             0.12276,            0.018192,            0.036838,          0.00011216,           0.0069444,          5.9296e-05,          5.9296e-06,             0.11686,            0.018824,            0.042399,            0.009637,            0.009637,            0.009637
                  13,             0.12184,            0.018252,            0.035917,          6.0643e-05,            0.029412,          3.4085e-05,          6.8171e-06,             0.11588,            0.018957,            0.042602,            0.009604,            0.009604,            0.009604
                  14,             0.12206,            0.016707,            0.035594,          5.4603e-05,            0.029412,          3.0522e-05,          6.1044e-06,             0.11665,            0.018627,            0.043759,            0.009571,            0.009571,            0.009571
                  15,             0.12179,            0.017147,            0.035415,          2.9586e-05,            0.014706,          1.5666e-05,          3.1332e-06,             0.11758,            0.018428,            0.045507,            0.009538,            0.009538,            0.009538
