               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13137,            0.025983,            0.044117,                   0,                   0,                   0,                   0,             0.12318,            0.026127,            0.043751,            0.070882,           0.0032353,           0.0032353
                   1,             0.12797,            0.024719,            0.043495,                   0,                   0,                   0,                   0,               0.122,            0.025638,            0.043557,            0.040817,           0.0065036,           0.0065036
                   2,             0.12658,             0.02367,            0.043012,          4.7087e-05,            0.044118,          2.9758e-05,          2.9758e-06,             0.12107,            0.025424,            0.043303,            0.010686,           0.0097059,           0.0097059
