               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13137,            0.026329,            0.044291,          5.1948e-05,            0.029412,          2.9113e-05,          2.9113e-06,             0.12317,            0.025822,             0.04377,               0.091,               0.001,               0.001
                   1,              0.1296,            0.024283,            0.043505,          7.5758e-05,            0.073529,          4.9236e-05,           9.122e-06,             0.12176,            0.024987,            0.043602,            0.081097,            0.002097,            0.002097
                   2,             0.12768,            0.022829,            0.043208,          7.5758e-05,            0.073529,          4.9286e-05,          7.4292e-06,             0.12074,            0.024421,            0.043443,            0.071191,           0.0031909,           0.0031909
                   3,             0.12605,            0.022307,            0.042906,          6.0606e-05,            0.058824,          3.7571e-05,           4.562e-06,             0.11985,             0.02394,            0.043257,            0.061282,           0.0042818,           0.0042818
                   4,             0.12524,            0.022222,            0.042084,          3.0303e-05,            0.029412,          1.7058e-05,          1.7058e-06,             0.11897,            0.023483,            0.043061,            0.051369,           0.0053695,           0.0053695
                   5,             0.12497,            0.020297,            0.041568,          1.5152e-05,            0.014706,          8.2753e-06,          8.2753e-07,             0.11829,            0.023048,            0.042833,            0.041454,            0.006454,            0.006454
                   6,              0.1238,            0.020413,            0.040878,                   0,                   0,                   0,                   0,              0.1178,            0.022649,            0.042576,            0.031536,           0.0075355,           0.0075355
                   7,             0.12458,            0.020879,            0.040497,                   0,                   0,                   0,                   0,             0.11723,            0.022113,            0.042158,            0.021614,           0.0086139,           0.0086139
                   8,             0.12418,            0.019997,            0.039273,                   0,                   0,                   0,                   0,             0.11693,            0.021827,            0.041905,            0.011689,           0.0096891,           0.0096891
                   9,              0.1234,            0.019142,            0.039326,                   0,                   0,                   0,                   0,             0.11652,            0.021453,            0.041485,           0.0098727,           0.0098727,           0.0098727
                  10,             0.12319,             0.01994,            0.038167,                   0,                   0,                   0,                   0,             0.11634,            0.020966,            0.041573,           0.0098727,           0.0098727,           0.0098727
                  11,             0.12288,            0.018569,            0.037907,                   0,                   0,                   0,                   0,             0.11802,            0.019859,            0.042307,           0.0098586,           0.0098586,           0.0098586
                  12,             0.12233,            0.017566,            0.037382,                   0,                   0,                   0,                   0,             0.11692,            0.019901,            0.042822,           0.0098444,           0.0098444,           0.0098444
                  13,             0.12104,            0.018337,            0.036213,                   0,                   0,                   0,                   0,             0.11689,            0.019314,            0.044265,           0.0098303,           0.0098303,           0.0098303
