               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13068,            0.026327,            0.044217,                   0,                   0,                   0,                   0,             0.12293,            0.025781,            0.043728,              0.0901,              0.0011,              0.0011
                   1,             0.12902,            0.024213,            0.043445,          7.5758e-05,            0.073529,          4.9236e-05,          7.4252e-06,             0.12142,            0.024864,            0.043521,            0.079254,           0.0022545,           0.0022545
                   2,             0.12808,            0.022626,            0.043015,          7.5758e-05,            0.073529,          4.9957e-05,          6.7037e-06,             0.12026,            0.024236,             0.04332,            0.068361,           0.0033614,           0.0033614
                   3,             0.12665,            0.021814,             0.04269,          4.5455e-05,            0.044118,           2.815e-05,          3.6336e-06,             0.11948,            0.023806,            0.043172,            0.057421,           0.0044208,           0.0044208
                   4,             0.12599,            0.021216,            0.042151,          3.0303e-05,            0.029412,          1.7498e-05,          1.7498e-06,             0.11884,             0.02348,             0.04305,            0.046433,           0.0054327,           0.0054327
                   5,             0.12513,            0.019732,             0.04157,          3.0303e-05,            0.029412,          1.8283e-05,          1.8283e-06,             0.11821,            0.023138,              0.0429,            0.035397,           0.0063971,           0.0063971
                   6,             0.12537,            0.020426,            0.041076,                   0,                   0,                   0,                   0,             0.11767,            0.022734,            0.042725,            0.024314,            0.007314,            0.007314
                   7,             0.12353,            0.021055,            0.040819,                   0,                   0,                   0,                   0,             0.11752,            0.022323,            0.042308,            0.013183,           0.0081833,           0.0081833
                   8,              0.1246,            0.020089,            0.040353,                   0,                   0,                   0,                   0,             0.13117,            0.017731,            0.050464,            0.008416,            0.008416,            0.008416
                   9,             0.12373,            0.020038,            0.039662,                   0,                   0,                   0,                   0,              0.1441,            0.012285,            0.078794,            0.008416,            0.008416,            0.008416
                  10,             0.12392,            0.019895,            0.039345,                   0,                   0,                   0,                   0,             0.14391,            0.010419,            0.068456,            0.008218,            0.008218,            0.008218
                  11,             0.12243,            0.018609,            0.038427,                   0,                   0,                   0,                   0,             0.13587,            0.012863,            0.049158,             0.00802,             0.00802,             0.00802
                  12,             0.12296,            0.017651,            0.037623,                   0,                   0,                   0,                   0,             0.12759,            0.015379,            0.040815,            0.007822,            0.007822,            0.007822
                  13,              0.1214,             0.01906,            0.037885,                   0,                   0,                   0,                   0,              0.1262,            0.015303,            0.042317,            0.007624,            0.007624,            0.007624
                  14,             0.12252,            0.017584,            0.036726,                   0,                   0,                   0,                   0,              0.1264,            0.015287,            0.044385,            0.007426,            0.007426,            0.007426
                  15,             0.12148,            0.018099,            0.036913,                   0,                   0,                   0,                   0,             0.12132,            0.016961,            0.044772,            0.007228,            0.007228,            0.007228
                  16,             0.12102,            0.018723,            0.035475,          0.00027263,           0.0069444,           0.0001469,           1.469e-05,             0.11795,            0.018166,            0.044321,             0.00703,             0.00703,             0.00703
                  17,             0.12171,            0.017499,             0.03519,          0.00016318,            0.036356,          0.00010645,          1.5387e-05,             0.11495,            0.018952,            0.042691,            0.006832,            0.006832,            0.006832
                  18,             0.12095,            0.017138,            0.034807,           0.0002554,            0.043301,          0.00022068,          3.8178e-05,             0.11411,            0.019271,            0.041676,            0.006634,            0.006634,            0.006634
                  19,             0.12028,            0.016727,            0.034789,          0.00010953,             0.02165,          7.2832e-05,          7.2832e-06,             0.11366,            0.019375,            0.041886,            0.006436,            0.006436,            0.006436
                  20,             0.11954,            0.018025,            0.033984,                   0,                   0,                   0,                   0,             0.11322,            0.019416,            0.042456,            0.006238,            0.006238,            0.006238
                  21,             0.11888,            0.017939,            0.033922,          8.0308e-05,           0.0069444,          5.0708e-05,          5.0708e-06,             0.11268,             0.01935,            0.042736,             0.00604,             0.00604,             0.00604
                  22,             0.11912,            0.018359,            0.032789,          0.00030553,            0.027778,          0.00019493,          2.9526e-05,             0.11128,            0.019908,            0.041681,            0.005842,            0.005842,            0.005842
                  23,             0.11682,            0.018158,              0.0321,          0.00016965,            0.028595,           9.441e-05,          1.3794e-05,             0.11117,            0.019825,            0.041615,            0.005644,            0.005644,            0.005644
                  24,             0.11667,             0.01903,            0.033738,          0.00054865,            0.099673,          0.00036238,          6.6741e-05,             0.10899,            0.020613,            0.041578,            0.005446,            0.005446,            0.005446
                  25,             0.11564,            0.018668,            0.031972,          0.00059818,             0.14379,          0.00042609,          0.00010657,             0.10799,            0.020692,            0.042357,            0.005248,            0.005248,            0.005248
                  26,             0.11211,            0.019458,             0.03162,          0.00062481,             0.14216,          0.00042382,          0.00011431,             0.10551,            0.021788,            0.042307,             0.00505,             0.00505,             0.00505
                  27,             0.11299,            0.019243,            0.032242,          0.00067011,             0.17075,          0.00051929,          0.00011818,             0.10438,            0.022144,            0.041979,            0.004852,            0.004852,            0.004852
                  28,             0.11274,            0.019843,            0.030481,           0.0006481,             0.20874,           0.0005845,          0.00012569,             0.10388,            0.022376,            0.043422,            0.004654,            0.004654,            0.004654
                  29,             0.10937,            0.019262,            0.029698,          0.00095139,              0.2402,           0.0010679,          0.00031327,             0.10315,            0.022048,            0.040127,            0.004456,            0.004456,            0.004456
                  30,             0.11028,            0.018952,            0.030249,          0.00090222,             0.24101,          0.00092647,          0.00026601,             0.10242,            0.022517,            0.040694,            0.004258,            0.004258,            0.004258
                  31,             0.10911,            0.019609,            0.031414,          0.00090454,             0.24877,          0.00093321,           0.0002806,             0.10464,            0.021293,            0.040264,             0.00406,             0.00406,             0.00406
                  32,              0.1056,            0.021022,            0.031746,           0.0010676,             0.29208,           0.0017196,          0.00042745,             0.10595,            0.019862,             0.03885,            0.003862,            0.003862,            0.003862
                  33,              0.1067,            0.020542,            0.027942,           0.0010392,             0.29371,           0.0013827,          0.00033823,             0.10479,            0.020569,            0.039472,            0.003664,            0.003664,            0.003664
                  34,             0.10266,              0.0196,            0.028916,           0.0013022,             0.33701,           0.0017703,          0.00047615,             0.10133,            0.021612,            0.039564,            0.003466,            0.003466,            0.003466
                  35,             0.10171,            0.023173,            0.028629,           0.0013574,             0.31536,           0.0017999,           0.0004509,             0.10145,            0.022192,            0.042887,            0.003268,            0.003268,            0.003268
                  36,            0.099977,            0.021387,            0.028826,          0.00094531,              0.2451,            0.001253,          0.00032655,             0.10303,            0.021914,            0.042816,             0.00307,             0.00307,             0.00307
                  37,             0.10041,            0.021505,            0.026775,             0.76684,            0.048611,           0.0094098,           0.0029886,            0.098751,            0.021492,            0.036396,            0.002872,            0.002872,            0.002872
                  38,            0.098228,            0.021839,            0.027395,             0.75364,           0.0069444,            0.001323,          0.00040095,             0.10861,             0.02145,            0.036152,            0.002674,            0.002674,            0.002674
                  39,            0.097381,            0.021765,            0.028182,             0.75554,            0.020833,           0.0036085,          0.00082636,              0.1057,            0.021221,            0.034292,            0.002476,            0.002476,            0.002476
                  40,            0.096476,            0.021555,            0.029327,             0.75257,            0.027778,           0.0014836,          0.00036131,             0.11065,            0.025989,             0.03409,            0.002278,            0.002278,            0.002278
                  41,            0.094821,            0.020346,            0.026841,             0.75371,            0.013889,           0.0020296,          0.00047824,             0.10878,            0.026256,            0.033231,             0.00208,             0.00208,             0.00208
                  42,            0.093359,            0.022589,            0.026639,             0.75946,            0.020833,           0.0057779,           0.0014813,             0.10049,            0.022612,            0.032014,            0.001882,            0.001882,            0.001882
                  43,            0.093031,            0.022314,            0.027075,             0.50746,            0.055556,           0.0069364,           0.0019372,             0.09722,            0.022221,            0.036493,            0.001684,            0.001684,            0.001684
                  44,            0.091698,            0.021286,            0.026905,             0.53187,            0.069444,            0.020924,           0.0065234,             0.09357,            0.021274,            0.036566,            0.001486,            0.001486,            0.001486
